speech,word,n,total,tf,idf,tf_idf
38,plastic,15,2120,0.007075471698113208,2.4277482359480516,0.017177463933594705
59,thailand,5,1229,0.0040683482506102524,4.219507705176107,0.017166426790789696
39,pollen,11,2268,0.0048500881834215165,3.5263605246161616,0.017103159510924944
19,calving,12,2988,0.004016064257028112,4.219507705176107,0.016945814077012476
18,headlines,4,835,0.004790419161676647,3.5263605246161616,0.016892745028101373
19,cameras,14,2988,0.004685408299866131,3.5263605246161616,0.01652243887035685
44,soundscape,6,1537,0.003903708523096942,4.219507705176107,0.01647172819196919
34,liquid,14,1936,0.007231404958677686,2.2735975561207935,0.016441304641369375
61,storm,2,381,0.005249343832020997,3.120895416507997,0.016382653105028854
44,marine,8,1537,0.00520494469746259,3.120895416507997,0.0162440880494886
62,d,14,2252,0.006216696269982238,2.6100697927420065,0.016226011144932544
1,tncs,7,1831,0.0038230475150191155,4.219507705176107,0.016131378446877526
22,anderson,1,133,0.007518796992481203,2.1400661634962708,0.016090723033806546
23,mart,12,2632,0.004559270516717325,3.5263605246161616,0.016077631571198306
65,colored,3,660,0.004545454545454545,3.5263605246161616,0.016028911475528006
56,arose,5,1111,0.004500450045004501,3.5263605246161616,0.0158702093817109
30,music,9,1036,0.008687258687258687,1.821612432377736,0.015824818427991917
65,elements,4,660,0.006060606060606061,2.6100697927420065,0.015818604804497007
59,flood,8,1229,0.006509357200976403,2.4277482359480516,0.01580308046182621
12,universe,24,2950,0.008135593220338983,1.916922612182061,0.01559530260758287
36,neutrons,9,2442,0.0036855036855036856,4.219507705176107,0.015551011198437742
29,lions,13,2626,0.0049504950495049506,3.120895416507997,0.01544997730944553
28,ooh,12,3280,0.003658536585365854,4.219507705176107,0.015437223311619905
64,fire,16,1804,0.008869179600886918,1.7346010553881064,0.015384488296125112
41,drawings,4,918,0.004357298474945534,3.5263605246161616,0.015365405336018134
8,food,30,1954,0.015353121801432957,1.000631880307906,0.015362823136764164
22,central,1,133,0.007518796992481203,2.0222831278398874,0.015205136299548025
22,chris,1,133,0.007518796992481203,2.0222831278398874,0.015205136299548025
22,okay,1,133,0.007518796992481203,2.0222831278398874,0.015205136299548025
22,park,1,133,0.007518796992481203,2.0222831278398874,0.015205136299548025
56,stromatolites,4,1111,0.0036003600360036,4.219507705176107,0.015191746913325317
18,aircraft,3,835,0.003592814371257485,4.219507705176107,0.015159907922788408
18,isoprene,3,835,0.003592814371257485,4.219507705176107,0.015159907922788408
39,flowers,11,2268,0.0048500881834215165,3.120895416507997,0.015136617981299809
8,bag,7,1954,0.0035823950870010235,4.219507705176107,0.01511594367258585
43,numeric,5,1398,0.00357653791130186,4.219507705176107,0.015091229274592657
28,leopard,14,3280,0.00426829268292683,3.5263605246161616,0.015051538824581179
40,genes,12,2498,0.004803843074459567,3.120895416507997,0.014992291832704547
42,surf,6,1423,0.004216444132115249,3.5263605246161616,0.014868702141740665
45,ice,31,2018,0.015361744301288404,0.9614111671546247,0.014768952518232589
35,sequence,9,1937,0.004646360351058337,3.120895416507997,0.014500804723062453
8,foods,8,1954,0.0040941658137154556,3.5263605246161616,0.014437504706719189
22,winter,1,133,0.007518796992481203,1.916922612182061,0.014412951971293692
12,bang,15,2950,0.005084745762711864,2.833213344056216,0.014406169546048555
46,mum,6,1761,0.0034071550255536627,4.219507705176107,0.014376516883053176
67,contract,5,1486,0.0033647375504710633,4.219507705176107,0.014197536020108032
65,versus,3,660,0.004545454545454545,3.120895416507997,0.014185888256854531
27,personality,2,440,0.004545454545454545,3.120895416507997,0.014185888256854531
21,geo,11,3288,0.0033454987834549877,4.219507705176107,0.014116357894445613
46,antarctica,15,1761,0.008517887563884156,1.65455834771457,0.014093341973718653
20,cities,21,2357,0.008909630886720407,1.580450375560848,0.0140812294810258
38,poor,18,2120,0.008490566037735849,1.65455834771457,0.01404813691455767
39,pollination,9,2268,0.003968253968253968,3.5263605246161616,0.013993494145302227
14,compassion,9,2729,0.003297911322828875,4.219507705176107,0.013915562237663966
14,traditions,9,2729,0.003297911322828875,4.219507705176107,0.013915562237663966
27,boat,3,440,0.006818181818181818,2.0222831278398874,0.013788294053453777
