"speech"	"bigram"	"n"	"tf"	"idf"	"tf_idf"
"86"	"61"	"lava lamp"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"87"	"61"	"lovely monsters"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"88"	"61"	"mammatus clouds"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"89"	"61"	"moist wind"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"90"	"61"	"ominous standing"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"91"	"61"	"producing grapefruit"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"92"	"61"	"scale version"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"93"	"61"	"shinnecock indian"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"94"	"61"	"single type"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"95"	"61"	"size hail"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"96"	"61"	"southeastern tip"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"97"	"61"	"spectacular tornadoes"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"98"	"61"	"started storm"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"99"	"61"	"straight laughter"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"100"	"61"	"summer day"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"101"	"61"	"super cell"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"102"	"61"	"tactile experience"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"103"	"61"	"tribe situated"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"104"	"61"	"turquoise blues"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"105"	"61"	"warm moist"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"106"	"61"	"wind blowing"	1	0.00263157894736842	4.21950770517611	0.0111039676452003
"107"	"44"	"arctic marine"	4	0.00260416666666667	4.21950770517611	0.0109883013155628
"108"	"14"	"golden rule"	7	0.00256598240469208	4.21950770517611	0.0108271825279446
"109"	"51"	"mass extinctions"	9	0.00249653259361997	4.21950770517611	0.0105341385150028
"110"	"67"	"food system"	5	0.00336700336700337	3.120895416508	0.0105080653754478
"111"	"53"	"science fiction"	3	0.00332225913621262	3.120895416508	0.0103684233106578
"112"	"59"	"firmly stand"	3	0.00244299674267101	4.21950770517611	0.0103082435794205
"113"	"28"	"ah ah"	8	0.00243976822201891	4.21950770517611	0.0102946208116526
"114"	"28"	"leopard seals"	8	0.00243976822201891	4.21950770517611	0.0102946208116526
"115"	"59"	"green roof"	4	0.00325732899022801	3.120895416508	0.0101657831156612
"116"	"33"	"oil spills"	8	0.00230547550432277	4.21950770517611	0.00972797165458469
"117"	"27"	"120 feet"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"118"	"27"	"15 foot"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"119"	"27"	"200 feet"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"120"	"27"	"40 meters"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"121"	"27"	"ancestors knowing"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"122"	"27"	"ancient atmosphere"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"123"	"27"	"approach photographing"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"124"	"27"	"artist connection"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"125"	"27"	"average size"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"126"	"27"	"beat fast"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"127"	"27"	"dramatic passion"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"128"	"27"	"foot boat"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"129"	"27"	"greenlandic iceberg"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"130"	"27"	"heart beat"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"131"	"27"	"ice shelves"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"132"	"27"	"iceberg rolling"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"133"	"27"	"individual moments"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"134"	"27"	"mineral rich"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
