speech,bigram,n,tf,idf,tf_idf
22,the scientists,1,0.007575757575757576,2.4277482359480516,0.018392032090515542
22,what a,1,0.007575757575757576,2.4277482359480516,0.018392032090515542
32,south bronx,16,0.005149662053427744,3.5263605246161616,0.0181595649803214
52,rocks of,10,0.004271678769756515,4.219507705176107,0.018024381483024807
60,the clouds,9,0.005649717514124294,3.120895416507997,0.017632177494395464
51,hydrogen sulfide,15,0.004160887656033287,4.219507705176107,0.017556897525004604
34,metal battery,8,0.004134366925064599,4.219507705176107,0.017444993096335324
35,abalone shell,8,0.004132231404958678,4.219507705176107,0.01743598225279383
49,the wolves,9,0.004128440366972477,4.219507705176107,0.017419985938800443
36,fusion is,10,0.004096681687832855,4.219507705176107,0.017285979947464593
36,the plasma,10,0.004096681687832855,4.219507705176107,0.017285979947464593
22,chris anderson,1,0.007575757575757576,2.2735975561207935,0.017224223910006012
22,it all,1,0.007575757575757576,2.2735975561207935,0.017224223910006012
59,this park,5,0.004071661237785016,4.219507705176107,0.01718040596570076
44,marine mammals,6,0.00390625,4.219507705176107,0.016482451973344168
61,them i,2,0.005263157894736842,3.120895416507997,0.016425765350042087
35,periodic table,9,0.0046487603305785125,3.5263605246161616,0.016393204918153645
30,a gift,4,0.003864734299516908,4.219507705176107,0.016307276155269976
30,gift that,4,0.003864734299516908,4.219507705176107,0.016307276155269976
22,next to,1,0.007575757575757576,2.1400661634962708,0.016212622450729325
27,the icebergs,2,0.004555808656036446,3.5263605246161616,0.01606542380235153
65,three dimensional,3,0.004552352048558422,3.5263605246161616,0.016053234558191933
38,poor people,13,0.006134969325153374,2.6100697927420065,0.016012698114981634
65,made up,4,0.006069802731411229,2.6100697927420065,0.01584260875715937
65,up of,4,0.006069802731411229,2.6100697927420065,0.01584260875715937
66,ozone layer,6,0.004392386530014641,3.5263605246161616,0.015489138468299392
9,democracy is,7,0.003604531410916581,4.219507705176107,0.015209348061911817
18,field campaign,3,0.0035971223021582736,4.219507705176107,0.015178085270417651
43,aquifer water,5,0.0035790980672870437,4.219507705176107,0.015102031872498594
62,blood pressure,8,0.003553976010661928,4.219507705176107,0.014996029160999047
39,of bees,8,0.0035288928098809,4.219507705176107,0.014890190402033019
12,the universe,20,0.00678195998643608,2.1400661634962708,0.014513843089157482
67,the commons,6,0.00404040404040404,3.5263605246161616,0.014247921311580451
33,of oil,14,0.004034582132564841,3.5263605246161616,0.014227391165598345
65,of weather,3,0.004552352048558422,3.120895416507997,0.01420741464267677
65,the form,3,0.004552352048558422,3.120895416507997,0.01420741464267677
68,high clouds,6,0.0033651149747616375,4.219507705176107,0.01419912856481023
