"bigram"	"n"
"1991"	"amphibious design"	1
"1992"	"amphibious laughter"	1
"1993"	"amphipods alright"	1
"1994"	"ample science"	1
"1995"	"amplified global"	1
"1996"	"analysis led"	1
"1997"	"analyze earth"	1
"1998"	"analyzed diagnosed"	1
"1999"	"ancestors knowing"	1
"2000"	"ancient amazon"	1
"2001"	"ancient atmosphere"	1
"2002"	"ancient climate"	1
"2003"	"ancient climates"	1
"2004"	"ancient continent"	1
"2005"	"ancient greek"	1
"2006"	"ancient past"	1
"2007"	"ancient tairona"	1
"2008"	"ancient tongue"	1
"2009"	"ancient variety"	1
"2010"	"ancient yews"	1
"2011"	"anderson calls"	1
"2012"	"anderson jill"	1
"2013"	"anderson powerfully"	1
"2014"	"angeles believing"	1
"2015"	"angry grannies"	1
"2016"	"animal chambered"	1
"2017"	"animal dung"	1
"2018"	"animal kingdom"	1
"2019"	"animal sounds"	1
"2020"	"animal species"	1
"2021"	"animal urine"	1
"2022"	"animal world"	1
"2023"	"animals depend"	1
"2024"	"animals evolved"	1
"2025"	"annoying frustrating"	1
"2026"	"annual basis"	1
"2027"	"annual gathering"	1
"2028"	"annual income"	1
"2029"	"anomalies covered"	1
"2030"	"anonymous trickle"	1
"2031"	"anote tong"	1
"2032"	"answer confirmed"	1
"2033"	"answer magnesium"	1
"2034"	"answer questions"	1
"2035"	"answer relies"	1
"2036"	"answer respond"	1
"2037"	"answering hollywood"	1
"2038"	"ant colonies"	1
"2039"	"antarctic peninsula"	1
"2040"	"antarctic treaty"	1
"2041"	"antarctic unbelievably"	1
"2042"	"antarctica 95"	1
"2043"	"antarctica extinction"	1
"2044"	"antarctica fantastic"	1
"2045"	"antenna stand"	1
"2046"	"antennas underneath"	1
"2047"	"anthropocene understanding"	1
"2048"	"anti development"	1
"2049"	"anti gaian"	1
"2050"	"anti globalization"	1
"2051"	"anti scientific"	1
"2052"	"antibodies proteins"	1
"2053"	"antiquated zoning"	1
"2054"	"antitrust laws"	1
"2055"	"anvil fashion"	1
"2056"	"anybody's friends"	1
"2057"	"anymore yeah"	1
"2058"	"ape evolved"	1
"2059"	"apes ventured"	1
"2060"	"apocalyptic scenario"	1
"2061"	"apollo 14"	1
"2062"	"apollo astronauts"	1
"2063"	"appalling atrocities"	1
"2064"	"appalling conflict"	1
"2065"	"appalling violence"	1
"2066"	"applause applause"	1
"2067"	"applause basically"	1
"2068"	"applause louie"	1
"2069"	"applause paul"	1
"2070"	"applicable version"	1
"2071"	"applied globally"	1
"2072"	"appreciation society"	1
"2073"	"approach organic"	1
"2074"	"approach photographing"	1
"2075"	"approach scientists"	1
"2076"	"approaching fast"	1
"2077"	"approximately equal"	1
"2078"	"aptly named"	1
"2079"	"apu spirit"	1
"2080"	"aquanauts alike"	1
"2081"	"aquanauts living"	1
"2082"	"aquifer existed"	1
"2083"	"aquifer formed"	1
"2084"	"arab league"	1
"2085"	"archbishop desmond"	1
"2086"	"architect design"	1
"2087"	"arctic changing"	1
"2088"	"arctic cod"	1
"2089"	"arctic decreased"	1
"2090"	"arctic drilling"	1
"2091"	"arctic echoed"	1
"2092"	"arctic national"	1
"2093"	"arctic night"	1
"2094"	"arctic selfie"	1
"2095"	"arctic summers"	1
"2096"	"arctic whales"	1
"2097"	"argo floats"	1
"2098"	"argued pr"	1
"2099"	"argument fascinating"	1
"2100"	"arise finally"	1
"2101"	"arizona join"	1
"2102"	"armed civilian"	1
"2103"	"armed conflict"	1
"2104"	"armillaria death"	1
"2105"	"arms control"	1
"2106"	"arms race"	1
"2107"	"armstrong's fantastic"	1
"2108"	"army officers"	1
"2109"	"army regiment"	1
"2110"	"arose leafless"	1
"2111"	"arose sparking"	1
"2112"	"arrested burning"	1
"2113"	"arrived 30"	1
"2114"	"arrives fast"	1
"2115"	"art class"	1
"2116"	"art community"	1
"2117"	"art film"	1
"2118"	"art historians"	1
"2119"	"art impacts"	1
"2120"	"art projects"	1
"2121"	"art science"	1
"2122"	"art supplies"	1
"2123"	"articles reading"	1
"2124"	"artificial fertilizers"	1
"2125"	"artisanal fishery"	1
"2126"	"artist connection"	1
"2127"	"ashes 1.2"	1
"2128"	"ashes amidst"	1
"2129"	"asia erosion"	1
"2130"	"asia managed"	1
"2131"	"asia pacific"	1
"2132"	"asia severe"	1
"2133"	"asian cities"	1
"2134"	"asian region"	1
"2135"	"aspen trees"	1
"2136"	"asperger guy"	1
"2137"	"asperger types"	1
"2138"	"assembled nanowires"	1
"2139"	"assessment report"	1
"2140"	"assign values"	1
"2141"	"assignment conventional"	1
"2142"	"assortative mating"	1
"2143"	"asteroid catastrophe"	1
"2144"	"asteroid impact"	1
"2145"	"asthma hospitalization"	1
"2146"	"astonishing assignment"	1
"2147"	"astonishing demonstration"	1
"2148"	"astonishing demonstrations"	1
"2149"	"astonishing people"	1
"2150"	"astonishing predictions"	1
"2151"	"astonishingly inquisitive"	1
"2152"	"astronaut joe"	1
"2153"	"astrophysical objects"	1
"2154"	"astrophysically realistic"	1
"2155"	"atacama desert"	1
"2156"	"ate inside"	1
"2157"	"atlantic ocean"	1
"2158"	"atlantic powers"	1
"2159"	"atlantic seaboard"	1
"2160"	"atmosphere absorbing"	1
"2161"	"atmosphere deposited"	1
"2162"	"atmosphere feels"	1
"2163"	"atmosphere fundamental"	1
"2164"	"atmosphere green"	1
"2165"	"atmosphere holds"	1
"2166"	"atmosphere ice"	1
"2167"	"atmosphere pulsing"	1
"2168"	"atmosphere thickening"	1
"2169"	"atmospheric circulation"	1
"2170"	"atmospheric co2"	1
"2171"	"atmospheric composition"	1
"2172"	"atmospheric explosions"	1
"2173"	"atmospheric lifetimes"	1
"2174"	"atmospheric science"	1
"2175"	"atmospheric watchtower"	1
"2176"	"atms laughter"	1
"2177"	"atomic bomb"	1
"2178"	"atomic bombs"	1
"2179"	"atomic structure"	1
"2180"	"atomizing seawater"	1
"2181"	"attacks heart"	1
"2182"	"attempted contact"	1
"2183"	"attenborough documentaries"	1
"2184"	"attic eighth"	1
"2185"	"attract major"	1
"2186"	"attractive cities"	1
"2187"	"audience 300"	1
"2188"	"audience whistles"	1
"2189"	"aura surrounding"	1
"2190"	"aurora borealis"	1
"2191"	"austral summer"	1
"2192"	"australia hoping"	1
"2193"	"australia knee"	1
"2194"	"australia lot"	1
"2195"	"australia's position"	1
"2196"	"australian leader"	1
"2197"	"authority nobody's"	1
"2198"	"autism animals"	1
"2199"	"autism asperger"	1
"2200"	"autism incidence"	1
"2201"	"autism lectures"	1
"2202"	"autism meetings"	1
"2203"	"autism types"	1
"2204"	"autistic kid"	1
"2205"	"autistic spectrum"	1
"2206"	"auto industry"	1
"2207"	"auto shop"	1
"2208"	"automotive fleet"	1
"2209"	"avenue paulista"	1
"2210"	"average 125"	1
"2211"	"average crowd"	1
"2212"	"average growth"	1
"2213"	"average size"	1
"2214"	"average temperatures"	1
"2215"	"avian flu"	1
"2216"	"avoid 28"	1
"2217"	"avoid average"	1
"2218"	"avoid release"	1
"2219"	"avoid thermal"	1
"2220"	"avoidable nuisance"	1
"2221"	"avoiding millions"	1
"2222"	"avoiding tall"	1
"2223"	"awareness partly"	1
"2224"	"awesome idea"	1
"2225"	"awesome national"	1
"2226"	"awesome pieces"	1
"2227"	"awful 10th"	1
"2228"	"ayahuasca fascinating"	1
"2229"	"b.c bud"	1
"2230"	"baboon clinging"	1
"2231"	"baby born"	1
"2232"	"baby cries"	1
"2233"	"background talking"	1
"2234"	"backtrack innovations"	1
"2235"	"backup beneath"	1
"2236"	"bacteria 10"	1
"2237"	"bacteria learn"	1
"2238"	"bacteria worms"	1
"2239"	"bacterial disease"	1
"2240"	"bacterial oxygen"	1
"2241"	"bad deal"	1
"2242"	"bad design"	1
"2243"	"bad guys"	1
"2244"	"bad impacts"	1
"2245"	"bad planet"	1
"2246"	"bad press"	1
"2247"	"bad project"	1
"2248"	"bad rap"	1
"2249"	"bad reputation"	1
"2250"	"bad shape"	1
"2251"	"bad weather"	1
"2252"	"badgers ravens"	1
"2253"	"badly damaged"	1
"2254"	"bae 146"	1
"2255"	"bag called"	1
"2256"	"baited hooks"	1
"2257"	"balance britain"	1
"2258"	"bald eagles"	1
"2259"	"balk shadows"	1
"2260"	"ballistic trajectories"	1
"2261"	"ban ki"	1
"2262"	"band represents"	1
"2263"	"banff national"	1
"2264"	"bang equivalent"	1
"2265"	"bangkok growing"	1
"2266"	"bangkok outlined"	1
"2267"	"bangkok's metropolitan"	1
"2268"	"bangladesh bangladeshi"	1
"2269"	"bangladeshi farmers"	1
"2270"	"bangladeshi scientists"	1
"2271"	"bangladeshi seed"	1
"2272"	"bank accounts"	1
"2273"	"bank exxon"	1
"2274"	"bank international"	1
"2275"	"bank laughter"	1
"2276"	"bank settlers"	1
"2277"	"bank strategy"	1
"2278"	"banking network"	1
"2279"	"bankruptcy threat"	1
"2280"	"baobab tree"	1
"2281"	"baobab trees"	1
"2282"	"bare eyes"	1
"2283"	"bare hands"	1
"2284"	"bare valley"	1
"2285"	"barefoot solar"	1
"2286"	"barely 300"	1
"2287"	"barely visited"	1
"2288"	"bark beetle"	1
"2289"	"barked fire"	1
"2290"	"barney ladies"	1
"2291"	"barometric pressure"	1
"2292"	"baron cuvier"	1
"2293"	"baroque paintings"	1
"2294"	"barrel lined"	1
"2295"	"barren land"	1
"2296"	"barrier protects"	1
"2297"	"bars chips"	1
"2298"	"based agreements"	1
"2299"	"based analyses"	1
"2300"	"based economy"	1
"2301"	"based farming"	1
"2302"	"based information"	1
"2303"	"based institution"	1
"2304"	"based institutions"	1
"2305"	"based organizations"	1
"2306"	"based partnerships"	1
"2307"	"based radar"	1
"2308"	"based roofing"	1
"2309"	"based solar"	1
"2310"	"based sounding"	1
"2311"	"based system"	1
"2312"	"based systems"	1
"2313"	"based thinker"	1
"2314"	"based units"	1
"2315"	"basic form"	1
"2316"	"basic healthcare"	1
"2317"	"basic physics"	1
"2318"	"basic practical"	1
"2319"	"basic structural"	1
"2320"	"basic structure"	1
"2321"	"basic understanding"	1
"2322"	"basically civilization's"	1
"2323"	"basically enliven"	1
"2324"	"basically leveled"	1
"2325"	"basically people"	1
"2326"	"basically projects"	1
"2327"	"basically squatters"	1
"2328"	"basically stayed"	1
"2329"	"basically viruses"	1
"2330"	"bat specialist"	1
"2331"	"bathing suits"	1
"2332"	"bats civets"	1
"2333"	"battery experts"	1
"2334"	"battery science"	1
"2335"	"battery story"	1
"2336"	"battery technology"	1
"2337"	"battle related"	1
"2338"	"battlefield injuries"	1
"2339"	"battles regional"	1
"2340"	"battlestar galactica"	1
"2341"	"bay half"	1
"2342"	"bbc's chief"	1
"2343"	"bbc's frozen"	1
"2344"	"beach california"	1
"2345"	"bear cubs"	1
"2346"	"bear moment"	1
"2347"	"bear rainforest"	1
"2348"	"bear spores"	1
"2349"	"bear swam"	1
"2350"	"bearded seal"	1
"2351"	"bearded seals"	1
"2352"	"bearing cones"	1
"2353"	"bears beavers"	1
"2354"	"bears decreasing"	1
"2355"	"bears fed"	1
"2356"	"bears left"	1
"2357"	"bears popping"	1
"2358"	"bears ravaged"	1
"2359"	"bears reinforced"	1
"2360"	"beast wrapping"	1
"2361"	"beasts paleoecology"	1
"2362"	"beat fast"	1
"2363"	"beautification rack"	1
"2364"	"beautiful ammonites"	1
"2365"	"beautiful breaking"	1
"2366"	"beautiful demonstration"	1
"2367"	"beautiful discovery"	1
"2368"	"beautiful diversity"	1
"2369"	"beautiful girls"	1
"2370"	"beautiful graphic"	1
"2371"	"beautiful oreo"	1
"2372"	"beautiful pristine"	1
"2373"	"beautiful project"	1
"2374"	"beautiful quote"	1
"2375"	"beautiful sculpted"	1
"2376"	"beautiful sight"	1
"2377"	"beautiful species"	1
"2378"	"beautiful structure"	1
"2379"	"beautiful system"	1
"2380"	"beautiful trees"	1
"2381"	"beautiful view"	1
"2382"	"beautiful wild"	1
"2383"	"beautiful words"	1
"2384"	"beautiful world"	1
"2385"	"beautifully ironic"	1
"2386"	"beauty immerses"	1
"2387"	"beavers bison"	1
"2388"	"beavers started"	1
"2389"	"bed thinking"	1
"2390"	"bedrock positions"	1
"2391"	"bee bummer"	1
"2392"	"bee colonies"	1
"2393"	"bee consumes"	1
"2394"	"bee food"	1
"2395"	"bee friendly"	1
"2396"	"bee hives"	1
"2397"	"bee organisms"	1
"2398"	"bee society"	1
"2399"	"bee twitch"	1
"2400"	"bee's body"	1
"2401"	"bee's immune"	1
"2402"	"bees bees"	1
"2403"	"bees carry"	1
"2404"	"bees collect"	1
"2405"	"bees dying"	1
"2406"	"bees fly"	1
"2407"	"bees people"	1
"2408"	"bees require"	1
"2409"	"bees spend"	1
"2410"	"beetle repellent"	1
"2411"	"beetroot lettuce"	1
"2412"	"begets environmental"	1
"2413"	"begets social"	1
"2414"	"begin thinking"	1
"2415"	"beginning precise"	1
"2416"	"behave linearly"	1
"2417"	"behavior air"	1
"2418"	"behavioral psychology"	1
"2419"	"behavioral relationships"	1
"2420"	"beijing 25"	1
"2421"	"beijing fifty"	1
"2422"	"beijing pollution"	1
"2423"	"belief brings"	1
"2424"	"belief system"	1
"2425"	"bell studies"	1
"2426"	"bellos applause"	1
"2427"	"bells makes"	1
"2428"	"belong laughter"	1
"2429"	"beloved 60s"	1
"2430"	"beloved audience"	1
"2431"	"beloved forests"	1
"2432"	"beloved friend"	1
"2433"	"beloved native"	1
"2434"	"belt talk"	1
"2435"	"ben roberts"	1
"2436"	"beneath enceladus"	1
"2437"	"beneficial effects"	1
"2438"	"benefit analysis"	1
"2439"	"benefit ratio"	1
"2440"	"benefits poor"	1
"2441"	"bentonville arkansas"	1
"2442"	"benzene rings"	1
"2443"	"beret serving"	1
"2444"	"berkeley researchers"	1
"2445"	"berkeley techie"	1
"2446"	"berlin britain"	1
"2447"	"berries growing"	1
"2448"	"beta carotene"	1
"2449"	"beverly hillbillies"	1
"2450"	"beverly joubert"	1
"2451"	"beverly sits"	1
"2452"	"bezos advised"	1
"2453"	"biblical times"	1
"2454"	"bigger company"	1
"2455"	"bigger dog"	1
"2456"	"bigger guy"	1
"2457"	"bigger hole"	1
"2458"	"bigger sheets"	1
"2459"	"biggest calving"	1
"2460"	"biggest challenges"	1
"2461"	"biggest conflict"	1
"2462"	"biggest driver"	1
"2463"	"biggest economic"	1
"2464"	"biggest issues"	1
"2465"	"biggest levers"	1
"2466"	"biggest question"	1
"2467"	"biggest reservoir"	1
"2468"	"biggest threat"	1
"2469"	"bighorn sheep"	1
"2470"	"bigots islam"	1
"2471"	"bike lanes"	1
"2472"	"bike paths"	1
"2473"	"bike shops"	1
"2474"	"bikes people"	1
"2475"	"biking sixth"	1
"2476"	"bill gates"	1
"2477"	"bill joy"	1
"2478"	"bill mckibben"	1
"2479"	"bill moyers"	1
"2480"	"billion data"	1
"2481"	"billion days"	1
"2482"	"billion degrees"	1
"2483"	"billion dollar"	1
"2484"	"billion live"	1
"2485"	"billion organized"	1
"2486"	"billion peripatetic"	1
"2487"	"billion pounds"	1
"2488"	"billion risk"	1
"2489"	"billion times"	1
"2490"	"billion unaccounted"	1
"2491"	"billion viruses"	1
"2492"	"billion watts"	1
"2493"	"binary code"	1
"2494"	"binary companion"	1
"2495"	"binding climate"	1
"2496"	"bio blitz"	1
"2497"	"bio mimicry"	1
"2498"	"bio morphic"	1
"2499"	"biochar fixes"	1
"2500"	"biochemical response"	1
"2501"	"biochemical version"	1
"2502"	"biocomposite material"	1
"2503"	"biodiverse low"	1
"2504"	"biodiverse parks"	1
"2505"	"biodiversity providing"	1
"2506"	"bioethics met"	1
"2507"	"biofuel miracle"	1
"2508"	"biological design"	1
"2509"	"biological diversity"	1
"2510"	"biological materials"	1
"2511"	"biological processes"	1
"2512"	"biological web"	1
"2513"	"biologist 20"	1
"2514"	"biologists hoping"	1
"2515"	"biologists politely"	1
"2516"	"biologists studying"	1
"2517"	"biology computer"	1
"2518"	"biology techniques"	1
"2519"	"biomimicry respecting"	1
"2520"	"biophysical logic"	1
"2521"	"bird sanctuary"	1
"2522"	"birds life"	1
"2523"	"birds witnessed"	1
"2524"	"birth inside"	1
"2525"	"bison boar"	1
"2526"	"bistro table"	1
"2527"	"bistro tabletops"	1
"2528"	"bit biased"	1
"2529"	"bit bored"	1
"2530"	"bit chilly"	1
"2531"	"bit crooked"	1
"2532"	"bit naive"	1
"2533"	"bit nervous"	1
"2534"	"bit odd"	1
"2535"	"bit render"	1
"2536"	"bit rough"	1
"2537"	"bit scary"	1
"2538"	"bit surprised"	1
"2539"	"bitter divisiveness"	1
"2540"	"bitter leaves"	1
"2541"	"bitterroot mountains"	1
"2542"	"bizarre fascination"	1
"2543"	"bj dj"	1
"2544"	"black child"	1
"2545"	"black laughter"	1
"2546"	"black line"	1
"2547"	"black magic"	1
"2548"	"black person"	1
"2549"	"black sinister"	1
"2550"	"black water"	1
"2551"	"black woman"	1
"2552"	"blandly amorphous"	1
"2553"	"blanket warming"	1
"2554"	"blister rust"	1
"2555"	"block incoming"	1
"2556"	"blood brothers"	1
"2557"	"blood flows"	1
"2558"	"blood levels"	1
"2559"	"blood sucking"	1
"2560"	"blood veins"	1
"2561"	"blood vessel"	1
"2562"	"blooded animals"	1
"2563"	"bloods warm"	1
"2564"	"bloodstained continent"	1
"2565"	"bloodsucking parasite"	1
"2566"	"bloody catastrophes"	1
"2567"	"bloody head"	1
"2568"	"bloody times"	1
"2569"	"blow bubbles"	1
"2570"	"blue beret"	1
"2571"	"blue eyes"	1
"2572"	"blue flag"	1
"2573"	"blue flags"	1
"2574"	"blue hazy"	1
"2575"	"blue heart"	1
"2576"	"blue line"	1
"2577"	"blue lines"	1
"2578"	"blue skies"	1
"2579"	"blue sky"	1
"2580"	"blue whales"	1
"2581"	"boar moose"	1
"2582"	"boat pops"	1
"2583"	"boat ride"	1
"2584"	"boat starts"	1
"2585"	"bob epstein"	1
"2586"	"bodied animals"	1
"2587"	"body count"	1
"2588"	"body hit"	1
"2589"	"body impact"	1
"2590"	"body including"	1
"2591"	"boer graveyard"	1
"2592"	"bogota poor"	1
"2593"	"bold initiative"	1
"2594"	"bold mission"	1
"2595"	"bollacker's foot"	1
"2596"	"bolt hit"	1
"2597"	"bolte taylor"	1
"2598"	"bomb people"	1
"2599"	"bomb proof"	1
"2600"	"bonanza adit"	1
"2601"	"bond form"	1
"2602"	"bone industry"	1
"2603"	"bone sticking"	1
"2604"	"bone trade"	1
"2605"	"bones underwent"	1
"2606"	"booing lustily"	1
"2607"	"book called"	1
"2608"	"book thinking"	1
"2609"	"border crime"	1
"2610"	"borderline hypothermic"	1
"2611"	"boring rich"	1
"2612"	"born water"	1
"2613"	"borrow natural"	1
"2614"	"bosch process"	1
"2615"	"bottle laughter"	1
"2616"	"bottle massage"	1
"2617"	"bottle medal"	1
"2618"	"bottle winds"	1
"2619"	"bottled water"	1
"2620"	"bottom elevation"	1
"2621"	"bottom layer"	1
"2622"	"bottom piston"	1
"2623"	"bottom priorities"	1
"2624"	"bought land"	1
"2625"	"boulder colorado"	1
"2626"	"boulevards campaign"	1
"2627"	"boundaries vital"	1
"2628"	"boxes calculating"	1
"2629"	"bozeman montana"	1
"2630"	"bp oil"	1
"2631"	"bp's gas"	1
"2632"	"brain cells"	1
"2633"	"brain coral"	1
"2634"	"brain ignores"	1
"2635"	"brain scan"	1
"2636"	"brain serotonin"	1
"2637"	"brain tissue"	1
"2638"	"brain tumor"	1
"2639"	"brains financial"	1
"2640"	"brains reflect"	1
"2641"	"brainy primates"	1
"2642"	"brake pedal"	1
"2643"	"brave african"	1
"2644"	"brave deed"	1
"2645"	"brave yacht"	1
"2646"	"brazil leading"	1
"2647"	"brazil primates"	1
"2648"	"brazil's ethanol"	1
"2649"	"brazil's government"	1
"2650"	"brazilian bank"	1
"2651"	"brazilian cybercriminal"	1
"2652"	"brazilian fleet"	1
"2653"	"brazilian music"	1
"2654"	"breakdown begin"	1
"2655"	"breakdown laughter"	1
"2656"	"breaking wave"	1
"2657"	"breaking waves"	1
"2658"	"breathe catch"	1
"2659"	"breathe deep"	1
"2660"	"breathe green"	1
"2661"	"breeding farming"	1
"2662"	"breeding season"	1
"2663"	"brian cantera"	1
"2664"	"brian eno"	1
"2665"	"bridge details"	1
"2666"	"bridge dry"	1
"2667"	"bridges wide"	1
"2668"	"briefly read"	1
"2669"	"bright background"	1
"2670"	"bright radio"	1
"2671"	"bright september"	1
"2672"	"bright star"	1
"2673"	"brilliant efforts"	1
"2674"	"brilliant idea"	1
"2675"	"brilliant mind"	1
"2676"	"brilliant scientists"	1
"2677"	"brilliant students"	1
"2678"	"bring california"	1
"2679"	"bring communities"	1
"2680"	"bring peace"	1
"2681"	"bring people"	1
"2682"	"bring prosperity"	1
"2683"	"bring quick"	1
"2684"	"bringing governance"	1
"2685"	"bringing jobs"	1
"2686"	"bringing people"	1
"2687"	"brings carrying"	1
"2688"	"brisk 10"	1
"2689"	"brisk walk"	1
"2690"	"britain feel"	1
"2691"	"british double"	1
"2692"	"british isles"	1
"2693"	"british person"	1
"2694"	"british physicist"	1
"2695"	"broader debate"	1
"2696"	"broadly remained"	1
"2697"	"broadly speaking"	1
"2698"	"brock bastian"	1
"2699"	"bronx children"	1
"2700"	"bronx environmental"	1
"2701"	"bronx green"	1
"2702"	"bronx residents"	1
"2703"	"brother david"	1
"2704"	"brother lenny"	1
"2705"	"brothers steeped"	1
"2706"	"brought democracy"	1
"2707"	"bruce miller"	1
"2708"	"brush stroke"	1
"2709"	"brush stroked"	1
"2710"	"brussel sprouts"	1
"2711"	"brutal field"	1
"2712"	"brutally draws"	1
"2713"	"bubble bursts"	1
"2714"	"bubbles break"	1
"2715"	"buckminster fuller"	1
"2716"	"buddhism judaism"	1
"2717"	"budget calls"	1
"2718"	"budgets occurring"	1
"2719"	"bug spray"	1
"2720"	"bugs alan"	1
"2721"	"build buildings"	1
"2722"	"build custom"	1
"2723"	"build glass"	1
"2724"	"build hillside"	1
"2725"	"build instruments"	1
"2726"	"build laughter"	1
"2727"	"build nuclear"	1
"2728"	"build peace"	1
"2729"	"build seawalls"	1
"2730"	"build structures"	1
"2731"	"build systems"	1
"2732"	"build transistors"	1
"2733"	"building blocks"	1
"2734"	"building cells"	1
"2735"	"building codes"	1
"2736"	"building experience"	1
"2737"	"building houses"	1
"2738"	"building instruments"	1
"2739"	"building markets"	1
"2740"	"building owners"	1
"2741"	"building project"	1
"2742"	"building underground"	1
"2743"	"buildings learn"	1
"2744"	"built environments"	1
"2745"	"built forts"	1
"2746"	"built instruments"	1
"2747"	"bulbs means"	1
"2748"	"bull 65"	1
"2749"	"bull's eye"	1
"2750"	"bulldozers taking"	1
"2751"	"bumblebee colonies"	1
"2752"	"bumbling adolescence"	1
"2753"	"bumper crop"	1
"2754"	"bumpy boat"	1
"2755"	"bumpy ride"	1
"2756"	"burgeoning bone"	1
"2757"	"buried beneath"	1
"2758"	"burn meadows"	1
"2759"	"burn oil"	1
"2760"	"burn someday"	1
"2761"	"burn tons"	1
"2762"	"burn wildfire"	1
"2763"	"burned black"	1
"2764"	"burning embers"	1
"2765"	"burning gas"	1
"2766"	"burning jet"	1
"2767"	"burning plant"	1
"2768"	"burning produces"	1
"2769"	"burning smoke"	1
"2770"	"burns 80"	1
"2771"	"burns half"	1
"2772"	"bus mass"	1
"2773"	"bus rapid"	1
"2774"	"buses strongly"	1
"2775"	"bush administration"	1
"2776"	"bush live"	1
"2777"	"bush stood"	1
"2778"	"bushfelt region"	1
"2779"	"business bringing"	1
"2780"	"business leaders"	1
"2781"	"business model"	1
"2782"	"business risks"	1
"2783"	"business women"	1
"2784"	"business worldwide"	1
"2785"	"businesspeople professors"	1
"2786"	"bustling squatter"	1
"2787"	"busy building"	1
"2788"	"busy perpetually"	1
"2789"	"busy road"	1
"2790"	"butterfly laughter"	1
"2791"	"buy carbon"	1
"2792"	"buy gasoline"	1
"2793"	"buy land"	1
"2794"	"buy seed"	1
"2795"	"buying gas"	1
"2796"	"buying hybrids"	1
"2797"	"buying oil"	1
"2798"	"c.d called"	1
"2799"	"ca al"	1
"2800"	"ca pam"	1
"2801"	"ca people"	1
"2802"	"ca temple"	1
"2803"	"ca thirty"	1
"2804"	"ca totally"	1
"2805"	"ca wow"	1
"2806"	"cable tv"	1
"2807"	"cacophonous sound"	1
"2808"	"calamitous day"	1
"2809"	"calcium carbonate"	1
"2810"	"calcium iron"	1
"2811"	"calcium metabolism"	1
"2812"	"calculate molecular"	1
"2813"	"calculating ballistic"	1
"2814"	"calculating einstein's"	1
"2815"	"calculating hundreds"	1
"2816"	"calculating writing"	1
"2817"	"calculations writing"	1
"2818"	"caledonia 100"	1
"2819"	"california economy"	1
"2820"	"california emits"	1
"2821"	"california laughter"	1
"2822"	"call áras"	1
"2823"	"call climate"	1
"2824"	"call dreadnoughtus"	1
"2825"	"call god"	1
"2826"	"call greenhouse"	1
"2827"	"call megafires"	1
"2828"	"call micropower"	1
"2829"	"call religious"	1
"2830"	"call social"	1
"2831"	"called america's"	1
"2832"	"called amyris"	1
"2833"	"called artemisinin"	1
"2834"	"called b.t"	1
"2835"	"called biomimicry"	1
"2836"	"called buckyballs"	1
"2837"	"called choice"	1
"2838"	"called cycads"	1
"2839"	"called deep"	1
"2840"	"called desalination"	1
"2841"	"called eetwidomayloh"	1
"2842"	"called elk"	1
"2843"	"called emergence"	1
"2844"	"called eternal"	1
"2845"	"called feed"	1
"2846"	"called food"	1
"2847"	"called grafting"	1
"2848"	"called happiness"	1
"2849"	"called helios"	1
"2850"	"called helium"	1
"2851"	"called hydrophones"	1
"2852"	"called immortal"	1
"2853"	"called isoprene"	1
"2854"	"called january"	1
"2855"	"called jet"	1
"2856"	"called jian"	1
"2857"	"called jim"	1
"2858"	"called jomon"	1
"2859"	"called le"	1
"2860"	"called ligo"	1
"2861"	"called linguistic"	1
"2862"	"called lisa"	1
"2863"	"called longevity"	1
"2864"	"called m13"	1
"2865"	"called magnetized"	1
"2866"	"called monoamine"	1
"2867"	"called nunavut"	1
"2868"	"called paleontological"	1
"2869"	"called peter"	1
"2870"	"called precision"	1
"2871"	"called psychotria"	1
"2872"	"called ren"	1
"2873"	"called school"	1
"2874"	"called spot"	1
"2875"	"called standardized"	1
"2876"	"called strong"	1
"2877"	"called sub1"	1
"2878"	"called supergrid"	1
"2879"	"called temple"	1
"2880"	"called tragedy"	1
"2881"	"called varroa"	1
"2882"	"calling cards"	1
"2883"	"calling ecosystems"	1
"2884"	"calls migration"	1
"2885"	"calls tomorrow's"	1
"2886"	"calving event"	1
"2887"	"calving events"	1
"2888"	"cambrian ancestors"	1
"2889"	"cambrian explosion"	1
"2890"	"cambrian geologic"	1
"2891"	"cambrian limestone"	1
"2892"	"cambrian world"	1
"2893"	"camera equipment"	1
"2894"	"camera records"	1
"2895"	"camera shooting"	1
"2896"	"camp incognito"	1
"2897"	"camp site"	1
"2898"	"campaign dialogue"	1
"2899"	"campaign grassroots"	1
"2900"	"campaign promises"	1
"2901"	"canadian mounted"	1
"2902"	"cancer quickly"	1
"2903"	"cannibal spirits"	1
"2904"	"cannon fire"	1
"2905"	"canyon bottom"	1
"2906"	"cap greenland"	1
"2907"	"cap looked"	1
"2908"	"capability moving"	1
"2909"	"capita basis"	1
"2910"	"capitol building"	1
"2911"	"capitol buildings"	1
"2912"	"capture lions"	1
"2913"	"capture photosynthesis"	1
"2914"	"capture songs"	1
"2915"	"capture unique"	1
"2916"	"captures bits"	1
"2917"	"car batteries"	1
"2918"	"car crash"	1
"2919"	"car creates"	1
"2920"	"car fleet"	1
"2921"	"car laughter"	1
"2922"	"car share"	1
"2923"	"carbolines found"	1
"2924"	"carbolines harmine"	1
"2925"	"carbon 60"	1
"2926"	"carbon assets"	1
"2927"	"carbon atoms"	1
"2928"	"carbon based"	1
