"bigram"	"n"
"489"	"agricultural food"	2
"490"	"air conditioning"	2
"491"	"air force"	2
"492"	"air gains"	2
"493"	"air quality"	2
"494"	"air travel"	2
"495"	"airborne radar"	2
"496"	"almond orchards"	2
"497"	"amazing amount"	2
"498"	"amazing property"	2
"499"	"american design"	2
"500"	"amino acids"	2
"501"	"amplifying feedbacks"	2
"502"	"ancient ancestor"	2
"503"	"animal mind"	2
"504"	"antarctic ozone"	2
"505"	"apollo 8"	2
"506"	"apollo program"	2
"507"	"applause ca"	2
"508"	"applause yab"	2
"509"	"april 15th"	2
"510"	"arctic ocean"	2
"511"	"art museum"	2
"512"	"art versus"	2
"513"	"asian elephant"	2
"514"	"asteroid hits"	2
"515"	"autism genetics"	2
"516"	"average person"	2
"517"	"bad projects"	2
"518"	"bad stuff"	2
"519"	"baffin island"	2
"520"	"banqueting halls"	2
"521"	"barbara spill"	2
"522"	"based organization"	2
"523"	"baseload electricity"	2
"524"	"basic health"	2
"525"	"basically sort"	2
"526"	"basin national"	2
"527"	"beaufort sea"	2
"528"	"beautiful charismatic"	2
"529"	"beautiful landscape"	2
"530"	"beautiful music"	2
"531"	"beautiful picture"	2
"532"	"bee pollination"	2
"533"	"bell tolls"	2
"534"	"beluga whales"	2
"535"	"beneath kilometers"	2
"536"	"bernie madoff"	2
"537"	"beta carbolines"	2
"538"	"betel nuts"	2
"539"	"bigger picture"	2
"540"	"biggest cities"	2
"541"	"biggest green"	2
"542"	"bill mcdonough"	2
"543"	"billion miles"	2
"544"	"billion suns"	2
"545"	"biomimicry means"	2
"546"	"birds started"	2
"547"	"black cowboy"	2
"548"	"black lines"	2
"549"	"black rock"	2
"550"	"black sea"	2
"551"	"blue bin"	2
"552"	"bluefin tuna"	2
"553"	"botanical garden"	2
"554"	"bowhead whale"	2
"555"	"bowhead whales"	2
"556"	"brad pitt"	2
"557"	"brandi carlile"	2
"558"	"brands index"	2
"559"	"breakthrough technology"	2
"560"	"bretton woods"	2
"561"	"bright layer"	2
"562"	"bring governance"	2
"563"	"bristlecone pine"	2
"564"	"bristlecone pines"	2
"565"	"british foreign"	2
"566"	"brown administration"	2
"567"	"build resilience"	2
"568"	"building floating"	2
"569"	"burned patches"	2
"570"	"burning fossil"	2
"571"	"bus system"	2
"572"	"business community"	2
"573"	"buy gas"	2
"574"	"called cancer"	2
"575"	"cambridge university"	2
"576"	"cameras shoot"	2
"577"	"canadian government"	2
"578"	"canopy forests"	2
"579"	"canopy trees"	2
"580"	"carbon emissions"	2
"581"	"carbon nanotubes"	2
"582"	"carbon oxygen"	2
"583"	"cardboard cutouts"	2
"584"	"care costs"	2
"585"	"caribbean coastal"	2
"586"	"carrying capacity"	2
"587"	"cassini space"	2
"588"	"catastrophic change"	2
"589"	"catch yellowfin"	2
"590"	"cells survive"	2
"591"	"centenary park"	2
"592"	"central revelation"	2
"593"	"challenges facing"	2
"594"	"change deniers"	2
"595"	"cheap meaning"	2
"596"	"cheapest products"	2
"597"	"cheesy illustration"	2
"598"	"child pick"	2
"599"	"circular form"	2
"600"	"cities energy"	2
"601"	"city planet"	2
"602"	"civil society"	2
"603"	"clay layer"	2
"604"	"clean air"	2
"605"	"clean coal"	2
"606"	"clean drinking"	2
"607"	"climate action"	2
"608"	"climate engineering"	2
"609"	"climate history"	2
"610"	"climate justice"	2
"611"	"climate protection"	2
"612"	"climate scientist"	2
"613"	"clock experience"	2
"614"	"close proximity"	2
"615"	"cloud layer"	2
"616"	"co2 concentrations"	2
"617"	"coal mine"	2
"618"	"coastal plain"	2
"619"	"coastal villages"	2
"620"	"collectively control"	2
"621"	"compact fluorescent"	2
"622"	"company called"	2
"623"	"competent rock"	2
"624"	"completely wild"	2
"625"	"complex life"	2
"626"	"computer programmers"	2
"627"	"computer programming"	2
"628"	"computer screen"	2
"629"	"computer simulation"	2
"630"	"computers hate"	2
"631"	"concentrating solar"	2
"632"	"concrete jungle"	2
"633"	"coniferous trees"	2
"634"	"conscious defiance"	2
"635"	"constance okollet"	2
"636"	"consuming water"	2
"637"	"conventional papaya"	2
"638"	"cool picture"	2
"639"	"corn soy"	2
"640"	"coronary arteries"	2
"641"	"cost effective"	2
"642"	"counter moment"	2
"643"	"country index"	2
"644"	"couple examples"	2
"645"	"cover crops"	2
"646"	"cowboy hats"	2
"647"	"cozy circle"	2
"648"	"creek range"	2
"649"	"cretaceous period"	2
"650"	"criminal world"	2
"651"	"critical role"	2
"652"	"crop production"	2
"653"	"cross section"	2
"654"	"crude oil"	2
"655"	"crushed black"	2
"656"	"crystals cascading"	2
"657"	"csi climate"	2
"658"	"cultural diversity"	2
"659"	"cultural psychopaths"	2
"660"	"curiosity driven"	2
"661"	"current land"	2
"662"	"current situation"	2
"663"	"curve space"	2
"664"	"day job"	2
"665"	"day living"	2
"666"	"days ago"	2
"667"	"de link"	2
"668"	"dead fuels"	2
"669"	"dead materials"	2
"670"	"death experience"	2
"671"	"death rings"	2
"672"	"deep deep"	2
"673"	"deep diving"	2
"674"	"deep sea"	2
"675"	"deeply deeply"	2
"676"	"democracy matters"	2
"677"	"democratic republic"	2
"678"	"demonstration project"	2
"679"	"density liquid"	2
"680"	"depleting substances"	2
"681"	"design issue"	2
"682"	"developing country"	2
"683"	"difficult decision"	2
"684"	"difficult economic"	2
"685"	"dimensional graph"	2
"686"	"ding ding"	2
"687"	"dirty air"	2
"688"	"dirty production"	2
"689"	"dismantled warheads"	2
"690"	"distributed freely"	2
"691"	"drake passage"	2
"692"	"dream team"	2
"693"	"drinking water"	2
"694"	"dry mouth"	2
"695"	"dry season"	2
"696"	"dutch guy"	2
"697"	"dysfunctional food"	2
"698"	"earth discipline"	2
"699"	"earth science"	2
"700"	"earth summit"	2
"701"	"earth warms"	2
