"speech"	"word"	"n"	"total"	"tf"	"idf"	"tf_idf"
"129"	"59"	"thailand"	5	1229	0.00406834825061025	4.21950770517611	0.0171664267907897
"130"	"39"	"pollen"	11	2268	0.00485008818342152	3.52636052461616	0.0171031595109249
"131"	"19"	"calving"	12	2988	0.00401606425702811	4.21950770517611	0.0169458140770125
"132"	"18"	"headlines"	4	835	0.00479041916167665	3.52636052461616	0.0168927450281014
"133"	"19"	"cameras"	14	2988	0.00468540829986613	3.52636052461616	0.0165224388703568
"134"	"44"	"soundscape"	6	1537	0.00390370852309694	4.21950770517611	0.0164717281919692
"135"	"34"	"liquid"	14	1936	0.00723140495867769	2.27359755612079	0.0164413046413694
"136"	"61"	"storm"	2	381	0.005249343832021	3.120895416508	0.0163826531050289
"137"	"44"	"marine"	8	1537	0.00520494469746259	3.120895416508	0.0162440880494886
"138"	"62"	"d"	14	2252	0.00621669626998224	2.61006979274201	0.0162260111449325
"139"	"1"	"tncs"	7	1831	0.00382304751501912	4.21950770517611	0.0161313784468775
"140"	"22"	"anderson"	1	133	0.0075187969924812	2.14006616349627	0.0160907230338065
"141"	"23"	"mart"	12	2632	0.00455927051671732	3.52636052461616	0.0160776315711983
"142"	"65"	"colored"	3	660	0.00454545454545455	3.52636052461616	0.016028911475528
"143"	"56"	"arose"	5	1111	0.0045004500450045	3.52636052461616	0.0158702093817109
"144"	"30"	"music"	9	1036	0.00868725868725869	1.82161243237774	0.0158248184279919
"145"	"65"	"elements"	4	660	0.00606060606060606	2.61006979274201	0.015818604804497
"146"	"59"	"flood"	8	1229	0.0065093572009764	2.42774823594805	0.0158030804618262
"147"	"12"	"universe"	24	2950	0.00813559322033898	1.91692261218206	0.0155953026075829
"148"	"36"	"neutrons"	9	2442	0.00368550368550369	4.21950770517611	0.0155510111984377
"149"	"29"	"lions"	13	2626	0.00495049504950495	3.120895416508	0.0154499773094455
"150"	"28"	"ooh"	12	3280	0.00365853658536585	4.21950770517611	0.0154372233116199
"151"	"64"	"fire"	16	1804	0.00886917960088692	1.73460105538811	0.0153844882961251
"152"	"41"	"drawings"	4	918	0.00435729847494553	3.52636052461616	0.0153654053360181
"153"	"8"	"food"	30	1954	0.015353121801433	1.00063188030791	0.0153628231367642
"154"	"22"	"central"	1	133	0.0075187969924812	2.02228312783989	0.015205136299548
"155"	"22"	"chris"	1	133	0.0075187969924812	2.02228312783989	0.015205136299548
"156"	"22"	"okay"	1	133	0.0075187969924812	2.02228312783989	0.015205136299548
"157"	"22"	"park"	1	133	0.0075187969924812	2.02228312783989	0.015205136299548
"158"	"56"	"stromatolites"	4	1111	0.0036003600360036	4.21950770517611	0.0151917469133253
"159"	"18"	"aircraft"	3	835	0.00359281437125748	4.21950770517611	0.0151599079227884
"160"	"18"	"isoprene"	3	835	0.00359281437125748	4.21950770517611	0.0151599079227884
"161"	"39"	"flowers"	11	2268	0.00485008818342152	3.120895416508	0.0151366179812998
"162"	"8"	"bag"	7	1954	0.00358239508700102	4.21950770517611	0.0151159436725858
"163"	"43"	"numeric"	5	1398	0.00357653791130186	4.21950770517611	0.0150912292745927
"164"	"28"	"leopard"	14	3280	0.00426829268292683	3.52636052461616	0.0150515388245812
"165"	"40"	"genes"	12	2498	0.00480384307445957	3.120895416508	0.0149922918327045
"166"	"42"	"surf"	6	1423	0.00421644413211525	3.52636052461616	0.0148687021417407
"167"	"45"	"ice"	31	2018	0.0153617443012884	0.961411167154625	0.0147689525182326
"168"	"35"	"sequence"	9	1937	0.00464636035105834	3.120895416508	0.0145008047230625
"169"	"8"	"foods"	8	1954	0.00409416581371546	3.52636052461616	0.0144375047067192
