"","video","bigram","n","tf","idf","tf_idf"
"23","oYhCQv5tNsQ","this documentary",140,0.000276363607650534,1.6094379124341,0.000444790067769833
"24","OwqIy8Ikv-c","kyle towers",146,0.000189652753602103,2.30258509299405,0.000436691603289476
"25","fA5sGtj7QKQ","serge mooyman",144,0.000188881193729144,2.30258509299405,0.000434915021027648
"26","OwqIy8Ikv-c","minnesota says",143,0.000185755779213019,2.30258509299405,0.000427718488153391
"27","OwqIy8Ikv-c","be wrongwrong",141,0.000183157796286963,2.30258509299405,0.000421736411396001
"28","OwqIy8Ikv-c","wrongwrong wrong",141,0.000183157796286963,2.30258509299405,0.000421736411396001
"29","fA5sGtj7QKQ","the ff",262,0.000343658838590527,1.20397280432594,0.00041375589562923
"30","m0sY2tjmr","bi polar",33,0.000177174549144462,2.30258509299405,0.000407959475717978
"31","m0sY2tjmr","m0sy2tjmr_y amp",32,0.000171805623412811,2.30258509299405,0.000395597067362888
"32","m0sY2tjmr","v m0sy2tjmr_y",32,0.000171805623412811,2.30258509299405,0.000395597067362888
"33","UGqcweY1a3I","a morales",23,0.000167669035903044,2.30258509299405,0.000386072222627032
"34","UGqcweY1a3I","anibal a",23,0.000167669035903044,2.30258509299405,0.000386072222627032
"35","UGqcweY1a3I","morales sanchez",23,0.000167669035903044,2.30258509299405,0.000386072222627032
"36","NYoOcaqCzxo","crazyworld larue",36,0.0002388408258585,1.6094379124341,0.000384399480173741
"37","m0sY2tjmr","pena is",58,0.000311397692435721,1.20397280432594,0.00037491435302246
"38","EhW-B2udhQw","https youtu.be",185,0.00167675742305043,0.22314355131421,0.000374157606071936
"39","fA5sGtj7QKQ","dr michaels",122,0.000160024344687192,2.30258509299405,0.000368469670592869
"40","fA5sGtj7QKQ","russian model",120,0.000157400994774287,2.30258509299405,0.000362429184189707
"41","RkdbSxyXftc","rkdbsxyxftc amp",111,0.000148695697603856,2.30258509299405,0.000342384496694989
"42","RkdbSxyXftc","v rkdbsxyxftc",111,0.000148695697603856,2.30258509299405,0.000342384496694989
"43","UGqcweY1a3I","mike jansen",20,0.00014579916165482,2.30258509299405,0.000335714976197419
"44","EhW-B2udhQw","martian anthropologist",16,0.000145016858209767,2.30258509299405,0.00033391365594664
"45","EhW-B2udhQw","ms phin",16,0.000145016858209767,2.30258509299405,0.00033391365594664
"46","ZDK1aCqqZkQ","v zdk1acqqzkq",163,0.000202682370612797,1.6094379124341,0.000326204691446255
"47","EhW-B2udhQw","v ehw",22,0.000199398180038429,1.6094379124341,0.000320918990624209
"48","ZDK1aCqqZkQ","zdk1acqqzkq amp",159,0.000197708570106962,1.6094379124341,0.000318199668343279
"49","UGqcweY1a3I","mick mack",27,0.000196828868234008,1.6094379124341,0.000316783842797308
"50","fA5sGtj7QKQ","ff industry",104,0.000136414195471049,2.30258509299405,0.000314105292964413
"51","EhW-B2udhQw","buster dan",15,0.000135953304571656,2.30258509299405,0.000313044052449975
"52","fA5sGtj7QKQ","michaels was",103,0.000135102520514596,2.30258509299405,0.000311085049762832
"53","oYhCQv5tNsQ","v oyhcqv5tnsq",171,0.000337558406487438,0.916290731874155,0.000309301639330648
"54","EhW-B2udhQw","œgreenhouse gasesâ",21,0.000190334626400319,1.6094379124341,0.000306331763777654
"55","NYoOcaqCzxo","enquiry news",20,0.000132689347699167,2.30258509299405,0.000305528514011205
"56","UGqcweY1a3I","johnny notech",18,0.000131219245489338,2.30258509299405,0.000302143478577677
"57","UGqcweY1a3I","patrick lincoln",18,0.000131219245489338,2.30258509299405,0.000302143478577677
"58","UGqcweY1a3I","kim weaver",34,0.000247858574813195,1.20397280432594,0.000298414983394072
"59","m0sY2tjmr","big joe",24,0.000128854217559609,2.30258509299405,0.000296697800522166
"60","fA5sGtj7QKQ","was outed",98,0.000128544145732334,2.30258509299405,0.000295983833754927
"61","fA5sGtj7QKQ","40 funded",97,0.000127232470775882,2.30258509299405,0.000292963590553346
"62","EhW-B2udhQw","wayne bollentin",14,0.000126889750933546,2.30258509299405,0.00029217444895331
"63","EhW-B2udhQw","sean hollingsworth",20,0.000181271072762209,1.6094379124341,0.000291744536931099
"64","NYoOcaqCzxo","news felkins",19,0.000126054880314208,2.30258509299405,0.000290252088310645
"65","TCy","nobel physicist",93,0.000125598110356172,2.30258509299405,0.000289200336614343
"66","m0sY2tjmr","k right",23,0.000123485291827958,2.30258509299405,0.000284335392167076
"67","UGqcweY1a3I","monckton is",56,0.000408237652633497,0.693147180559945,0.000282968777921319
"68","OwqIy8Ikv-c","1.09ëš celsius",94,0.000122105197524642,2.30258509299405,0.000281157607597334
"69","NYoOcaqCzxo","gary sarela",35,0.000232206358473542,1.20397280432594,0.000279570140593704
"70","fA5sGtj7QKQ","manipulator decades",92,0.00012067409599362,2.30258509299405,0.000277862374545442
"71","oYhCQv5tNsQ","rick td",87,0.000171740241897118,1.6094379124341,0.000276405256399825
"72","NYoOcaqCzxo","felkins works",18,0.00011942041292925,2.30258509299405,0.000274975662610085
"73","TCy","tcy_uojeir0 amp",88,0.000118845523777883,2.30258509299405,0.000273651931420023
"74","UGqcweY1a3I","david john",16,0.000116639329323856,2.30258509299405,0.000268571980957935
"75","UGqcweY1a3I","ugqcwey1a3i amp",16,0.000116639329323856,2.30258509299405,0.000268571980957935
"76","UGqcweY1a3I","v ugqcwey1a3i",16,0.000116639329323856,2.30258509299405,0.000268571980957935
"77","m0sY2tjmr","oil man",31,0.000166436697681161,1.6094379124341,0.000267869531268393
"78","TCy","climate pseudoscientist.html",86,0.000116144489146568,2.30258509299405,0.000267432569342295
"79","fA5sGtj7QKQ","eats mammoth",87,0.000114115721211358,2.30258509299405,0.000262761158537538
"80","fA5sGtj7QKQ","hunts mammoth",87,0.000114115721211358,2.30258509299405,0.000262761158537538
"81","fA5sGtj7QKQ","mammoth kills",87,0.000114115721211358,2.30258509299405,0.000262761158537538
"82","ZDK1aCqqZkQ","crowder is",131,0.000162891966566113,1.6094379124341,0.00026216450662245
"83","EhW-B2udhQw","ehw b2udhqw",24,0.00021752528731465,1.20397280432594,0.000261894530180025
"84","oYhCQv5tNsQ","fear fear",144,0.000284259710726264,0.916290731874155,0.000260464538383704
"85","OwqIy8Ikv-c","group 2",124,0.000161074941415485,1.6094379124341,0.000259240117457183
"86","fA5sGtj7QKQ","michaels is",121,0.000158712669730739,1.6094379124341,0.000255438187848284
"87","OwqIy8Ikv-c","steve dekker",122,0.000158476958489429,1.6094379124341,0.000255058825240132
"88","TCy","giaever is",82,0.000110742419883937,2.30258509299405,0.00025499384518684
"89","UGqcweY1a3I","christopher marshall",15,0.000109349371241115,2.30258509299405,0.000251786232148064
"90","fA5sGtj7QKQ","born man",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"91","fA5sGtj7QKQ","eating giant",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"92","fA5sGtj7QKQ","farts after",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"93","fA5sGtj7QKQ","hunts giant",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"94","fA5sGtj7QKQ","kills giant",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"95","fA5sGtj7QKQ","mammoth oh",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"96","fA5sGtj7QKQ","man kills",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"97","fA5sGtj7QKQ","man sits",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"98","fA5sGtj7QKQ","more mammoth",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"99","fA5sGtj7QKQ","sheets some",83,0.000108869021385548,2.30258509299405,0.000250680185731214
"100","fA5sGtj7QKQ","sits and",83,0.000108869021385548,2.30258509299405,0.000250680185731214
